"section","id","en","ko"
"Top Menu","menu.file","File",""
"Top Menu","menu.new","New",""
"Top Menu","menu.openProject","Open MIDI / Project",""
"Top Menu","menu.saveProject","Save Project",""
"Top Menu","menu.edit","Edit",""
"Top Menu","menu.pianoRoll","Piano Roll",""
"Top Menu","menu.arrange","Arrange",""
"Top Menu","menu.tempo","Tempo",""
"Top Menu","menu.settings","Settings",""
"Top Menu","menu.help","Help",""
"Top Menu","menu.signIn","Sign In",""
"Instrument Picker UI","instrument.categories","Categories",""
"Instrument Picker UI","instrument.instruments","Instruments",""
"Instrument Picker UI","instrument.rhythmTrack","Rhythm Track",""
"Instrument Picker UI","instrument.cancel","Cancel",""
"Instrument Picker UI","instrument.ok","OK",""
"Track UI","track.defaultName","Track",""
"Track UI","track.add","Add Track",""
"Track UI","track.channel","CH",""
"Detail And Transport","term.velocity","Velocity",""
"Detail And Transport","term.pitchBend","Pitch Bend",""
"Detail And Transport","term.volume","Volume",""
"Detail And Transport","term.panpot","Panpot",""
"Detail And Transport","term.expression","Expression",""
"Detail And Transport","term.modulation","Modulation",""
"Detail And Transport","tempo.bpm","BPM",""
"Detail And Transport","transport.delete","Delete",""
